
결빙일수
지점/지역명 : 서울

평균 결빙일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,29.4,24.4,13.3,1.4,0.0,0.0,0.0,0.0,0.0,1.1,11.4,26.7,107.7
최근 10년,28.3,24.5,9.6,0.7,0.0,0.0,0.0,0.0,0.0,0.9,11.0,26.3,101.3
최근  5년,28.2,23.4,8.6,0.8,0.0,0.0,0.0,0.0,0.0,0.8,12.0,26.4,100.2
1907,―,―,―,―,―,―,―,―,―,0.0,0.0,0.0,0.0,99
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1910,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95
1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,95
1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,95
1924,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93
1925,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,44.0,87
1926,23.0,26.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,29.0,129.0,7
1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,41.0,88
1928,29.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,30.0,125.0,12
1929,31.0,26.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,20.0,20.0,121.0,20
1930,31.0,20.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,118.0,29
1931,30.0,27.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,27.0,117.0,31
1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95
1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,93
1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,92
1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
1940,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,29.0,45.0,86
1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,26.0,89
1942,31.0,27.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,31.0,131.0,5
1943,31.0,28.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,120.0,24
1944,31.0,29.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,128.0,9
1945,31.0,27.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,102.0,60
1946,25.0,27.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,26.0,100.0,65
1947,28.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,29.0,117.0,31
1948,29.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,73.0,84
1949,28.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,28.0,86.0,82
1950,25.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,85
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,90
1952,30.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,83
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,24.0,90
