
서리일수
지점/지역명 : 서울

평균 서리일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,12.8,11.6,5.9,0.7,0.0,0.0,0.0,0.0,0.0,1.5,8.7,13.0,54.2
최근 10년,12.1,10.8,5.8,1.8,0.0,0.0,0.0,0.0,0.0,1.7,9.1,11.1,52.4
최근  5년,15.6,11.6,8.6,3.2,0.0,0.0,0.0,0.0,0.0,2.0,11.2,15.4,67.6
1907,―,―,―,―,―,―,―,―,―,1.0,14.0,24.0,39.0,92
1908,23.0,13.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,26.0,113.0,5
1909,27.0,21.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,20.0,123.0,2
1910,17.0,18.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,26.0,101.0,13
1911,16.0,13.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,15.0,79.0,41
1912,22.0,15.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,20.0,96.0,19
1913,18.0,14.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,13.0,90.0,27
1914,18.0,16.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,20.0,77.0,43
1915,15.0,15.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,62.0,68
1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,114
1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
1921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,20.0,109
1922,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,21.0,69.0,65
1923,17.0,17.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,23.0,104.0,11
1924,25.0,13.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,28.0,126.0,1
1925,22.0,20.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,15
1926,18.0,19.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,21.0,110.0,6
1927,19.0,18.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,18.0,101.0,13
1928,21.0,19.0,16.0,4.0,0.0,0.0,0.0,0.0,1.0,11.0,16.0,22.0,110.0,6
1929,20.0,16.0,12.0,3.0,0.0,0.0,0.0,7.0,0.0,7.0,17.0,16.0,98.0,18
1930,27.0,19.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,28.0,109.0,8
1931,15.0,18.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,19.0,91.0,25
1932,25.0,21.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,21.0,117.0,3
1933,25.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,17.0,94.0,20
1934,20.0,22.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,26.0,106.0,10
1935,22.0,19.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,18.0,92.0,21
1936,17.0,21.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,23.0,109.0,8
1937,20.0,19.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,18.0,89.0,29
1938,15.0,18.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,15.0,73.0,53
1939,15.0,15.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,18.0,76.0,46
1940,12.0,15.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,17.0,73.0,53
1941,21.0,19.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,20.0,81.0,39
1942,21.0,11.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,21.0,86.0,33
