년,월,폭염일수
1908,8,3
1909,8,4
1910,7,1
1911,8,4
1912,8,2
1914,6,1
1914,7,5
1914,8,5
1915,7,4
1915,8,6
1916,7,1
1917,6,4
1917,7,10
1917,8,3
1918,7,2
1918,8,3
1919,7,9
1919,8,16
1920,6,3
1920,7,5
1920,8,3
1921,8,11
1922,6,1
1922,7,4
1922,8,6
1923,8,8
1924,6,2
1924,7,5
1924,8,16
1925,7,2
1925,8,2
1927,6,1
1927,7,4
1927,8,2
1928,7,3
1928,8,10
1929,6,4
1929,7,6
1929,8,12
1930,6,3
1930,7,7
1930,8,14
1931,8,4
1932,5,1
1932,7,10
1932,8,7
1933,7,3
1934,8,1
1935,8,2
1936,7,1
1937,7,4
1937,8,14
1938,7,8
1938,8,13
1939,6,1
1939,7,19
1939,8,23
1939,9,4
1940,7,2
1940,8,3
1941,7,3
1941,8,1
1942,6,3
1942,7,8
1942,8,5
1943,6,1
1943,7,14
1943,8,25
1943,9,1
1944,6,2
1944,7,4
1944,8,11
1945,8,11
1946,7,9
1946,8,11
1947,7,1
1947,8,2
1948,8,8
1948,9,1
1949,6,2
1949,7,6
1949,8,12
1950,5,2
1950,7,8
1950,8,14
1954,8,4
1955,6,3
1955,8,10
1956,7,2
1956,8,4
1957,8,2
1958,6,5
1958,7,7
1958,8,2
1959,7,2
1959,8,10
1960,8,12
1961,7,6
1961,8,7
1962,7,8
1962,8,1
1963,7,1
1963,8,4
1964,6,1
1964,7,2
1964,8,5
1965,6,3
1965,7,2
1966,8,5
1967,7,4
1967,8,1
1968,7,1
1968,8,3
1970,8,5
1971,8,2
1972,7,6
1973,7,4
1973,8,3
1974,8,2
1975,7,1
1975,8,7
1976,6,1
1976,7,1
1977,6,1
1977,7,7
1977,8,1
1978,7,8
1978,8,5
1981,7,4
1982,7,1
1982,8,4
1983,8,5
1984,6,1
1984,7,3
1984,8,4
1985,7,5
1985,8,6
1988,8,13
1989,7,1
1989,8,3
1990,7,3
1990,8,7
1991,8,4
1994,6,2
1994,7,17
1994,8,10
1995,7,1
1995,8,2
1996,7,2
1996,8,4
1997,6,3
1997,7,6
1997,8,5
1999,6,2
1999,7,2
1999,8,9
2000,6,3
2000,7,7
2000,8,6
2001,8,4
2002,7,3
2004,7,4
2004,8,5
2005,7,3
2005,8,2
2006,8,7
2007,6,1
2007,8,1
2008,8,3
2009,8,3
2010,8,2
2011,7,1
2011,8,1
2012,6,2
2012,7,2
2012,8,9
2013,8,2
2014,5,1
2014,7,6
2014,8,2
2015,6,1
2015,7,4
2015,8,2
2016,7,3
2016,8,19
2017,6,1
2017,7,4
2017,8,5
2018,7,16
2018,8,19
2019,5,1
2019,7,4
2019,8,10
2020,6,2
2020,8,2
2021,7,15
2021,8,3
2022,7,10
2023,6,2
2023,7,6
2023,8,10
