연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,4.8,7.7,0,0,0,0,12.5,
1907,,,,,,,,,,0,0,0,,
1908,0,0,0,0,0,0,3,0,0,0,0,0,3,80
1909,0,0,0,0,0,0,2,3,0,0,0,0,5,56
1910,0,0,0,0,0,0,3,0,0,0,0,0,3,79
1911,0,0,0,0,0,0,1,2,0,0,0,0,3,78
1912,0,0,0,0,0,0,1,0,0,0,0,0,1,104
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,117
1914,0,0,0,0,0,0,5,3,1,0,0,0,9,35
1915,0,0,0,0,0,0,5,0,0,0,0,0,5,55
1916,0,0,0,0,0,0,0,2,0,0,0,0,2,93
1917,0,0,0,0,0,0,0,1,0,0,0,0,1,103
1918,0,0,0,0,0,0,1,0,0,0,0,0,1,102
1919,0,0,0,0,0,0,0,5,0,0,0,0,5,54
1920,0,0,0,0,0,0,1,1,0,0,0,0,2,92
1921,0,0,0,0,0,0,0,4,0,0,0,0,4,69
1922,0,0,0,0,0,0,2,3,0,0,0,0,5,53
1923,0,0,0,0,0,0,0,5,0,0,0,0,5,52
1924,0,0,0,0,0,0,3,8,0,0,0,0,11,29
1925,0,0,0,0,0,0,1,0,0,0,0,0,1,101
1926,0,0,0,0,0,0,2,3,0,0,0,0,5,51
1927,0,0,0,0,0,0,5,1,0,0,0,0,6,49
1928,0,0,0,0,0,0,1,1,0,0,0,0,2,91
1929,0,0,0,0,0,0,7,6,0,0,0,0,13,22
1930,0,0,0,0,0,0,6,10,0,0,0,0,16,14
1931,0,0,0,0,0,0,0,4,0,0,0,0,4,68
1932,0,0,0,0,0,0,10,2,0,0,0,0,12,25
1933,0,0,0,0,0,0,2,0,0,0,0,0,2,90
1934,0,0,0,0,0,0,0,1,0,0,0,0,1,100
1935,0,0,0,0,0,0,2,0,2,0,0,0,4,67
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,116
