연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,1.8,0.6,0,0,0,0,0,0,0,0,0,0.7,3.1,
최근 10년,2,0.4,0,0,0,0,0,0,0,0,0,1.8,4.2,
최근  5년,1.4,0,0,0,0,0,0,0,0,0,0,2.8,4.2,
1907,,,,,,,,,,0,0,6,,
1908,4,5,0,0,0,0,0,0,0,0,0,0,9,59
1909,1,4,0,0,0,0,0,0,0,0,0,7,12,43
1910,2,4,0,0,0,0,0,0,0,0,0,3,9,58
1911,7,0,0,0,0,0,0,0,0,0,0,5,12,42
1912,8,0,0,0,0,0,0,0,0,0,0,4,12,41
1913,10,3,0,0,0,0,0,0,0,0,0,2,15,29
1914,2,0,0,0,0,0,0,0,0,0,0,0,2,99
1915,4,4,1,0,0,0,0,0,0,0,0,1,10,55
1916,0,0,0,0,0,0,0,0,0,0,0,3,3,90
1917,19,7,0,0,0,0,0,0,0,0,0,10,36,1
1918,15,0,0,0,0,0,0,0,0,0,0,1,16,27
1919,10,3,0,0,0,0,0,0,0,0,0,2,15,28
1920,12,4,0,0,0,0,0,0,0,0,0,4,20,11
1921,3,0,0,0,0,0,0,0,0,0,0,2,5,76
1922,13,1,0,0,0,0,0,0,0,0,0,5,19,13
1923,9,4,0,0,0,0,0,0,0,0,0,4,17,22
1924,4,1,0,0,0,0,0,0,0,0,0,2,7,67
1925,5,5,0,0,0,0,0,0,0,0,0,4,14,33
1926,8,2,0,0,0,0,0,0,0,0,0,6,16,26
1927,6,3,0,0,0,0,0,0,0,0,0,5,14,32
1928,11,2,0,0,0,0,0,0,0,0,0,3,16,25
1929,5,7,0,0,0,0,0,0,0,0,0,1,13,36
1930,8,0,0,0,0,0,0,0,0,0,0,0,8,64
1931,7,3,0,0,0,0,0,0,0,0,0,1,11,51
1932,1,2,0,0,0,0,0,0,0,0,0,0,3,89
1933,12,3,2,0,0,0,0,0,0,0,0,0,17,21
1934,17,1,0,0,0,0,0,0,0,0,0,0,18,15
1935,4,2,0,0,0,0,0,0,0,0,0,11,17,20
1936,18,4,2,0,0,0,0,0,0,0,0,0,24,6
1937,2,0,0,0,0,0,0,0,0,0,0,4,6,71
1938,12,3,0,0,0,0,0,0,0,0,0,3,18,14
1939,6,4,0,0,0,0,0,0,0,0,0,1,11,50
1940,16,4,0,0,0,0,0,0,0,0,0,0,20,10
1941,10,5,1,0,0,0,0,0,0,0,0,1,17,19
1942,15,9,0,0,0,0,0,0,0,0,0,2,26,4
1943,15,4,0,0,0,0,0,0,0,0,0,0,19,12
1944,8,5,0,0,0,0,0,0,0,0,0,12,25,5
1945,19,10,0,0,0,0,0,0,0,0,0,3,32,2
1946,9,1,0,0,0,0,0,0,0,0,0,11,21,8
1947,6,10,0,0,0,0,0,0,0,0,0,10,26,3
1948,9,8,0,0,0,0,0,0,0,0,0,0,17,18
1949,5,0,0,0,0,0,0,0,0,0,0,5,10,54
1950,3,0,0,0,0,0,0,0,0,0,0,0,3,88
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,116
1952,4,5,0,0,0,0,0,0,0,0,0,2,11,49
1953,10,3,0,0,0,0,0,0,0,0,0,0,13,35
1954,0,3,0,0,0,0,0,0,0,0,0,1,4,81
1955,11,3,0,0,0,0,0,0,0,0,0,0,14,31
1956,7,4,0,0,0,0,0,0,0,0,0,12,23,7
1957,6,6,0,0,0,0,0,0,0,0,0,0,12,40
1958,12,1,0,0,0,0,0,0,0,0,0,0,13,34
1959,10,0,0,0,0,0,0,0,0,0,0,2,12,39
1960,6,0,0,0,0,0,0,0,0,0,0,5,11,48
1961,9,1,0,0,0,0,0,0,0,0,0,1,11,47
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,115
1963,17,2,0,0,0,0,0,0,0,0,0,1,20,9
1964,0,3,0,0,0,0,0,0,0,0,0,0,3,87
1965,6,1,0,0,0,0,0,0,0,0,0,5,12,38
1966,7,3,0,0,0,0,0,0,0,0,0,4,14,30
1967,9,1,0,0,0,0,0,0,0,0,0,7,17,17
1968,2,3,0,0,0,0,0,0,0,0,0,0,5,75
1969,5,4,0,0,0,0,0,0,0,0,0,1,10,53
1970,8,0,0,0,0,0,0,0,0,0,0,0,8,63
1971,3,1,0,0,0,0,0,0,0,0,0,0,4,80
1972,0,0,0,0,0,0,0,0,0,0,0,1,1,106
1973,0,0,0,0,0,0,0,0,0,0,0,2,2,98
1974,5,2,0,0,0,0,0,0,0,0,0,0,7,66
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,114
1976,4,0,0,0,0,0,0,0,0,0,0,5,9,57
