일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
1907년 10월,13.9,76,47,2.2,4.2
1907년 11월,5.3,77,54.4,2.7,5.8
1907년 12월,-3.9,68,25.2,3,3.8
1908년 1월,-3.5,71,18.2,2.3,5.7
1908년 2월,-4,63,29.1,2.9,4.2
1908년 3월,2.9,62,12.4,3.7,5.4
1908년 4월,10.1,64,17,3.6,6.4
1908년 5월,14.9,75,71.3,3.9,5.5
1908년 6월,20.7,76,107.1,3.4,7.1
1908년 7월,23.5,82,530.3,3.7,7.8
1908년 8월,24.3,81,160.5,3.1,6.6
1908년 9월,19.3,71,65.3,3.6,5.4
1908년 10월,13.6,75,35.3,2.3,5
1908년 11월,3.6,68,14.4,3.2,4
1908년 12월,-0.8,63,5.4,2.6,3
1909년 1월,-2.5,66,7.4,2.3,5.4
1909년 2월,-3.2,60,7.9,3.9,4.2
1909년 3월,1.8,59,26.7,3.8,5.3
1909년 4월,10.4,66,106.8,4.1,5.9
1909년 5월,15.4,69,46.2,3.7,5.5
1909년 6월,20.6,71,90.9,2.8,6.6
1909년 7월,24.6,80,160,4,7.7
1909년 8월,25.3,77,216.1,3.7,6.9
1909년 9월,20.2,75,78.2,2.9,6.1
1909년 10월,12.2,71,28.1,2.4,4.9
1909년 11월,5.2,67,23.7,3.1,3.9
1909년 12월,-3.4,71,35,2.5,4.3
1910년 1월,-2.2,75,21.8,3,5.6
1910년 2월,-3.4,67,1.2,3,3.8
1910년 3월,2.5,60,32.9,3.9,5.2
1910년 4월,9.9,66,36.8,3.2,6.1
1910년 5월,16.3,62,1.7,3.3,5.4
1910년 6월,19.8,76,183.3,3.7,6.7
1910년 7월,23.3,83,377.8,3,7.7
1910년 8월,24.2,75,184.3,3.3,6.5
1910년 9월,19.1,73,79.6,2.4,6.3
1910년 10월,13.7,68,14.1,1.8,3.8
1910년 11월,5.5,71,78.3,3,4.9
1910년 12월,-4.6,63,9.1,2.6,3.9
1911년 1월,-5,67,37.6,2.6,4.3
1911년 2월,-1.1,66,11.7,3.1,3.5
1911년 3월,4,68,88.7,3.9,7.3
