연도,봄,여름,가을,겨울
1907,,,18,26
1908,24,37,20,19
1909,22,48,27,28
1910,18,44,25,27
1911,28,50,38,21
1912,25,40,18,19
1913,22,32,10,22
1914,25,39,33,28
1915,29,38,29,24
1916,37,49,27,15
1917,22,37,30,17
1918,28,32,25,25
1919,27,30,35,21
1920,24,43,18,27
1921,26,37,23,19
1922,22,48,33,25
1923,32,38,30,25
1924,23,29,20,19
1925,26,41,19,27
1926,29,46,29,18
1927,29,39,20,20
1928,23,35,22,22
1929,25,34,24,27
1930,26,40,27,25
1931,23,44,23,30
1932,29,38,26,16
1933,24,47,29,18
1934,21,52,27,17
1935,22,39,28,20
1936,29,46,32,28
1937,28,36,26,21
1938,37,39,22,19
1939,22,26,29,15
1940,25,46,14,25
1941,29,46,19,21
1942,28,35,31,22
1943,20,23,34,17
1944,28,42,30,15
1945,32,43,19,25
1946,24,44,20,15
1947,27,50,23,24
1948,16,47,22,24
1949,22,29,19,26
1950,16,37,10,0
1951,0,0,0,22
1952,13,21,24,14
1953,21,41,18,26
1954,14,49,22,17
1955,27,35,22,20
1956,32,46,23,19
1957,26,50,15,25
1958,24,33,32,23
1959,28,45,29,21
1960,30,37,21,22
1961,20,54,29,22
1962,22,41,30,16
1963,34,44,21,20
1964,28,46,26,18
1965,15,40,21,11
1966,21,43,33,16
1967,21,48,27,16
1968,17,33,27,28
1969,34,44,28,20
1970,20,48,28,18
1971,24,49,19,23
1972,26,34,43,22
1973,26,35,32,20
1974,30,40,20,20
1975,27,34,31,23
1976,20,39,26,13
1977,20,27,25,22
1978,16,48,18,24
1979,25,41,19,26
1980,21,48,15,19
1981,25,40,22,11
1982,21,31,19,25
1983,24,35,31,18
1984,23,42,24,26
1985,21,40,38,17
1986,23,50,24,19
1987,27,43,21,16
1988,20,34,13,24
1989,20,35,27,28
1990,34,53,18,23
1991,23,34,18,25
1992,24,36,28,22
1993,23,46,22,18
1994,20,27,30,20
1995,24,47,24,15
1996,24,42,22,16
1997,30,29,25,23
1998,24,50,25,12
1999,21,35,26,19
2000,23,35,24,26
2001,16,37,16,17
2002,22,42,25,22
2003,26,52,29,17
2004,25,36,24,12
2005,22,41,25,20
2006,23,47,20,15
2007,32,46,35,17
2008,30,43,18,23
2009,24,45,24,26
2010,35,51,25,17
2011,22,52,20,16
2012,23,37,30,25
2013,33,46,25,19
2014,20,39,22,24
2015,21,35,25,21
2016,24,36,27,23
2017,19,41,19,21
2018,31,34,23,11
2019,17,39,23,29
2020,20,46,20,18
2021,35,34,25,21
2022,20,45,18,18
2023,22,43,23,27
