폭풍일수,,,,,,,,,,,,,,
지점/지역명 :  전국,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭풍일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,4.2,4.4,5,4,1.2,2.3,2.9,3,3.4,2.2,2.8,4.3,39.6,
최근 10년,0.1,0.2,0.2,0.1,0.1,0,0.1,0.1,0.3,0.2,0.1,0.2,1.7,
최근  5년,0.2,0.2,0.2,0.1,0.1,0,0.1,0.1,0.4,0.1,0.2,0.2,1.8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1908,1.6,1.7,1.7,0.8,0.5,0.5,0.4,0.3,0.3,0.5,1.5,1.3,11.2,14
1909,1,1.6,1.4,1.2,0.3,0.2,0.5,0.1,0.2,0.3,1.3,1.8,10,21
1910,1.3,1.2,2,0.7,0.3,0.5,0.6,0.3,0.3,0.2,0.9,1.4,9.7,24
1911,1.1,1.2,1.3,0.7,0.2,0.2,0.7,0.2,0.5,0.4,1,1.2,8.5,36
1912,1.4,0.9,0.8,1.2,0.6,0,0.4,0.2,0.4,0.8,1.1,1.3,9.2,29
1913,0.6,0.9,0.5,0.2,0.1,0.2,0.1,0.1,0.2,0.5,1.2,1.7,6.4,58
1914,1.6,0.9,1.5,0.8,0.5,0.2,0.7,0.5,0.5,0.5,1.2,1.5,10.5,18
1915,2.1,1.4,1.7,0.9,0.5,0.2,0.5,0.3,0.5,0.5,1,1.3,10.8,17
1916,1.1,1.5,1.7,1.2,0.6,0.5,0.2,0.3,0.4,0.2,0.8,1,9.5,25
1917,1.6,1.2,0.8,0.8,0.2,0.1,0.2,0.3,0.5,0.5,1,2,9.2,28
1918,1.9,1.2,0.9,0.5,1,0.4,0.8,0.5,0.6,0.5,1.2,1.2,10.8,16
1919,1.5,0.9,1.2,0.4,0.5,0.3,0.2,0.5,0.5,0.2,0.5,0.8,7.5,45
1920,1.5,1.2,0.6,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.7,1,6.3,59
1921,1.1,0.9,1.2,0.8,0.2,0.1,0.2,0.2,0.2,0.4,1,1,7.3,48
1922,1.5,0.6,0.7,0.3,0.4,0.1,0.3,0.1,0.6,0.3,1,1.2,7.1,50
1923,1.2,1.3,0.8,0.6,0.1,0.2,0.1,0.5,0.2,0.4,0.8,0.9,7,51
1924,1.1,1.5,0.8,0.8,0.5,0.2,0.8,0.4,0.5,0.7,1.5,1.2,10,22
1925,0.1,0.1,0.1,0.2,0.1,0,0.1,0,0.2,0,0,0.3,1.1,115
1926,0.1,0.3,0.1,0.1,0,0,0,0,0,0.2,0.1,0.8,1.5,107
1927,0.2,0.2,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.2,0.6,1.6,105
1928,0.2,0.2,0.2,0,0,0,0,0,0.1,0.1,0,0.2,0.9,116
1929,0.2,0.2,0.2,0,0,0.1,0,0,0,0,0,0.1,0.8,118
1930,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,119
1931,0.2,0.2,0.2,0.3,0,0,0,0.2,0,0,0.1,0.2,1.4,111
1932,0,0.2,0.1,0,0.1,0.1,0,0.2,0,0,0.2,0.2,0.9,117
1933,0.2,0.1,0.1,0,0.1,0,0.1,0.2,0.2,0.1,0.2,0.1,1.3,112
1934,0.3,0.1,0.4,0.2,0.2,0,0.1,0.3,0,0.2,0.2,0.2,2.2,93
1935,0.1,0.2,0.3,0.2,0.1,0.2,0.1,0,0.2,0.1,0.2,0.3,1.8,101
1936,0,0.1,0.1,0.3,0.1,0,0,0.3,0,0.2,0.4,0.4,1.8,103
1937,0.1,0.2,0.2,0.6,0.2,0,0.2,0,0.2,0.2,0.2,0.4,2.2,92
1938,0.4,0.3,0.2,0.4,0.1,0.1,0,0.2,0,0.2,0.2,0.2,2.1,94
1939,0.5,0.2,0.1,0.3,0.1,0.1,0.2,0,0.1,0.1,0.2,0.1,1.8,97
1940,0.6,0.8,0.8,1.2,0.5,0.5,1.1,0.2,0.3,0.3,0.8,1.5,8.6,32
1941,0.8,0.6,0.7,1.2,0.5,0.2,0.6,0.7,0.2,0.4,0.5,0.7,7,53
1942,0.8,0.6,0.8,1.8,0.8,0,0.1,0.4,0.3,0.2,0.7,0.8,7.5,47
1943,1.1,0.6,0.6,1.1,0.5,0.2,0.5,0.3,0.3,0.1,0.8,1.5,7.5,43
1944,1.5,1.5,1.2,0.2,0.3,0.2,0.2,0.7,0.1,0.3,0.4,1.7,8.2,40
1945,0.8,1,1.3,0.7,0.5,0.3,0.3,0.5,0.5,0.5,0.2,0.8,7.5,46
1946,0.9,0.9,2.1,1.2,0.6,0.5,0.1,0.6,0.3,0.2,0.6,1.3,9.3,26
1947,0.9,1.8,1.2,0.8,0.2,0.2,0.8,0.3,0.2,1.2,0.5,1.9,9.9,23
1948,2,0.8,1,0.8,0.5,0.2,0.7,0.2,0.5,0.1,0.8,1,8.5,38
1949,1.2,1.8,1.3,0.8,0.2,1.2,0.3,0.5,0.2,0.8,1,1,10.3,20
1950,1.1,1.1,1.2,0.3,0,0.2,0.9,0.1,0.3,0.2,0.9,1,7.2,49
1951,1.1,1.4,0.8,0.2,0.5,0.3,0.4,0.5,0.4,0.5,1.5,1.1,8.5,35
1952,1.6,1.2,1.2,1.3,0.4,0.6,0.2,1,0.7,0.9,1.1,1.9,12.2,13
1953,2.8,1.7,2.3,1.2,1.2,0.3,0.8,0.3,0.2,0.4,1.6,1.8,14.5,9
1954,1.8,1.9,2.9,1.4,1.2,1.8,1.2,0.8,1.8,1,0.7,2.5,19,4
1955,3.5,2.5,2.5,2.1,1.4,1.4,1.8,1.1,1.3,1,1.5,1.6,21.6,2
1956,2.2,2.5,2.5,1.7,1.8,1.5,0.4,1.1,2.4,1.7,1.5,3.2,22.3,1
1957,2.5,3.1,3.1,2.2,1.2,0.7,1.5,1.8,0.8,0.8,0.7,2.2,20.5,3
1958,3.5,1.5,1.8,1.2,0.7,0.5,0.7,0.8,1.1,1.3,1.5,0.8,15.4,7
1959,1.8,1.7,0.8,2,0.8,0.2,0.8,1,1.5,0.3,1.4,1.2,13.5,10
1960,1.8,1.1,1.5,0.9,1.5,1.8,0.7,1.5,0.7,0.6,0.7,1.8,14.5,8
1961,1.5,1.2,1.1,2.2,0.5,0,0.6,1.2,0.6,1.5,1.1,1.5,13.1,11
1962,2.1,1.8,2.5,2.2,0.3,0.8,0.3,1.2,1.2,0.2,1.8,1.3,15.6,6
1963,4.7,1.4,1.3,1.3,0.8,1.4,0.7,0.8,0.3,0.4,1.2,1.5,15.8,5
1964,1,0.8,2.1,0.8,0.4,0.3,0.7,0.9,0.6,0.3,0.8,0.5,9.3,27
1965,2,0.7,1.2,0.6,0.4,0,1.2,0.2,0.2,0.2,0.8,1.3,8.8,31
1966,0.5,1.2,0.6,0.8,0.5,0.1,0.3,1.2,0.5,0.7,1.2,0.8,8.5,37
1967,1.4,0.8,0.8,0.7,0.2,0.2,0.4,0,0.2,0.2,0.5,0.5,5.9,65
1968,1.2,0.5,0.5,0.1,0.3,0.2,0.4,0.4,0.4,0.5,0.7,0.9,6,64
1969,1,0.6,0.8,2.2,0.5,0.2,0.8,0.4,0.2,0.2,0.5,1.2,8.6,33
1970,0.8,0.8,1.5,0.8,0.6,0.4,0.9,0.7,0.7,0.5,1.2,1.5,10.3,19
1971,0.9,0.8,0.9,0.7,0.3,0.2,0.7,0.8,0.3,0.7,0.2,1.3,7.9,41
1972,0.8,1,1,0.6,0.4,0.2,1.3,1.6,0.8,0.8,1.2,1.3,11.1,15
1973,0.8,0.6,0.8,0.8,0.4,0,0.2,0.8,0.5,0.3,1.9,0.9,8.2,39
1974,0.2,1.1,0.6,1.2,0.8,0.1,0.6,0.4,0.2,0.4,0.6,0.4,6.6,55
1975,0.5,1,0.5,0.5,0.2,0.2,0.5,0.2,0.5,0.3,0.9,1.6,6.8,54
1976,2.2,0.2,0.8,0.5,0.2,0.4,0.2,0.4,0.7,0.5,0.8,1.2,7.8,42
1977,0.9,0.9,1.2,0.7,0.3,0.1,0.1,0.3,0.5,0.2,0.5,0.5,6.2,60
1978,0.9,0.8,0.7,0.8,0,0.5,0,0.3,0.2,0.2,0.5,1.2,6.1,62
1979,0.6,0.9,0.5,0.9,0.4,0.5,0.2,0.7,0.5,0.7,1.2,0.4,7.5,44
